% Surplus / Deficit,Availability,Month,Number of Records,Region,Requirement,State/System,Surplus / Deficit,Year
0,262,April,1,Northern Region,262,Chandigarh,0,2014
-0.7,4891,April,1,Northern Region,4923,Delhi,-32,2014
-0.6,6610,April,1,Northern Region,6650,Haryana,-40,2014
-1.1,1468,April,1,Northern Region,1485,Himachal Pradesh,-17,2014
-20,2177,April,1,Northern Region,2720,Jammu and Kashmir,-543,2014
-0.4,6835,April,1,Northern Region,6864,Punjab,-29,2014
-0.4,9806,April,1,Northern Region,9844,Rajasthan,-38,2014
-12.6,15273,April,1,Northern Region,17474,Uttar Pradesh,-2201,2014
-1.8,1980,April,1,Northern Region,2016,Uttarakhand,-36,2014
-0.8,3678,April,1,Western Region,3709,Chattisgarh,-31,2014
0,17041,April,1,Western Region,17042,Gujarat,-1,2014
-0.3,8220,April,1,Western Region,8248,Madhya Pradesh,-28,2014
-2.5,23693,April,1,Western Region,24299,Maharashtra,-606,2014
0,371,April,1,Western Region,371,Daman and Diu,0,2014
0,918,April,1,Western Region,918,Dadar Nagar Haveli,0,2014
-0.3,796,April,1,Western Region,798,Goa,-2,2014
-9.7,15467,April,1,Southern Region,17127,Andhra Pradesh,-1660,2014
0,0,April,1,Southern Region,0,Telangana,0,2014
-6.4,10616,April,1,Southern Region,11343,Karnataka,-727,2014
-1.4,3860,April,1,Southern Region,3914,Kerala,-54,2014
-5.6,16089,April,1,Southern Region,17042,Tamil Nadu,-953,2014
-0.7,430,April,1,Southern Region,433,Puducherry,-3,2014
0,8,April,1,Southern Region,8,Lakshadweep,0,2014
-2.2,2752,April,1,Eastern Region,2815,Bihar,-63,2014
-0.8,3003,April,1,Eastern Region,3026,DVC,-23,2014
-0.8,1335,April,1,Eastern Region,1346,Jharkhand,-11,2014
-1.8,4621,April,1,Eastern Region,4707,Odisha,-86,2014
-0.6,8676,April,1,Eastern Region,8731,West Bengal,-55,2014
0,64,April,1,Eastern Region,64,Sikkim,0,2014
-25,30,April,1,Eastern Region,40,Andaman- Nicobar,-10,2014
-5.3,90,April,1,North-Eastern Region,95,Arunachal Pradesh,-5,2014
-8.2,1179,April,1,North-Eastern Region,1285,Assam,-106,2014
-5.2,92,April,1,North-Eastern Region,97,Manipur,-5,2014
-14.3,228,April,1,North-Eastern Region,266,Meghalaya,-38,2014
-6,63,April,1,North-Eastern Region,67,Mizoram,-4,2014
-4.2,92,April,1,North-Eastern Region,96,Nagaland,-4,2014
-5.4,174,April,1,North-Eastern Region,184,Tripura,-10,2014
0,152,May,1,Northern Region,152,Chandigarh,0,2014
-0.8,2769,May,1,Northern Region,2792,Delhi,-23,2014
-0.6,3674,May,1,Northern Region,3698,Haryana,-24,2014
-0.3,757,May,1,Northern Region,759,Himachal Pradesh,-2,2014
-20,1074,May,1,Northern Region,1342,Jammu and Kashmir,-268,2014
-0.6,3862,May,1,Northern Region,3885,Punjab,-23,2014
-0.2,5151,May,1,Northern Region,5163,Rajasthan,-12,2014
-13.8,7950,May,1,Northern Region,9227,Uttar Pradesh,-1277,2014
-1.6,1040,May,1,Northern Region,1057,Uttarakhand,-17,2014
-0.9,1696,May,1,Western Region,1712,Chattisgarh,-16,2014
0,8725,May,1,Western Region,8725,Gujarat,0,2014
-0.6,4107,May,1,Western Region,4133,Madhya Pradesh,-26,2014
-2.4,12071,May,1,Western Region,12372,Maharashtra,-301,2014
0,188,May,1,Western Region,188,Daman and Diu,0,2014
0,473,May,1,Western Region,473,Dadar Nagar Haveli,0,2014
-0.5,403,May,1,Western Region,405,Goa,-2,2014
-7,7541,May,1,Southern Region,8110,Andhra Pradesh,-569,2014
0,0,May,1,Southern Region,0,Telangana,0,2014
-7,5024,May,1,Southern Region,5400,Karnataka,-376,2014
-1.9,1944,May,1,Southern Region,1982,Kerala,-38,2014
-3.6,8084,May,1,Southern Region,8385,Tamil Nadu,-301,2014
-1.4,216,May,1,Southern Region,219,Puducherry,-3,2014
